Year,m,d,Time,Time zone,Pressure (msl) (hPa),Precipitation amount (mm),Air temperature (degC)
2003,1,1,00:00,UTC,1006.5,,-20.2
2003,1,1,01:00,UTC,1005.8,,-20.2
2003,1,1,02:00,UTC,1005.2,,-20.1
2003,1,1,03:00,UTC,1004.9,,-20
2003,1,1,04:00,UTC,1004.1,,-19.7
2003,1,1,05:00,UTC,1003.9,,-20
2003,1,1,06:00,UTC,1003.4,,-20.7
2003,1,1,07:00,UTC,1003.3,,-21.4
2003,1,1,08:00,UTC,1003.4,,-22.2
2003,1,1,09:00,UTC,1003.3,,-22.6
2003,1,1,10:00,UTC,1003.2,,-21.6
2003,1,1,11:00,UTC,1003.7,,-19.9
2003,1,1,12:00,UTC,1003.6,,-18.3
2003,1,1,13:00,UTC,1003.6,,-19.3
2003,1,1,14:00,UTC,1003.7,,-20.1
2003,1,1,15:00,UTC,1003.5,,-20.4
2003,1,1,16:00,UTC,1003.4,,-20.8
2003,1,1,17:00,UTC,1003.4,,-20.1
2003,1,1,18:00,UTC,1003.4,,-20.5
2003,1,1,19:00,UTC,1003.3,,-20
2003,1,1,20:00,UTC,1002.9,,-20.6
2003,1,1,21:00,UTC,1002.9,,-20.6
2003,1,1,22:00,UTC,1003.1,,-21.9
2003,1,1,23:00,UTC,1003,,-20.3
2003,1,2,00:00,UTC,1003,,-19.8
2003,1,2,01:00,UTC,1002.9,,-19.6
2003,1,2,02:00,UTC,1002.6,,-20.2
2003,1,2,03:00,UTC,1002.4,,-20.9
2003,1,2,04:00,UTC,1002.4,,-20.7
2003,1,2,05:00,UTC,1002,,-19.4
2003,1,2,06:00,UTC,1002,,-18.9
2003,1,2,07:00,UTC,1001.9,,-19.1
2003,1,2,08:00,UTC,1001.9,,-20.4
2003,1,2,09:00,UTC,1001.8,,-21.5
2003,1,2,10:00,UTC,1001.5,,-20.7
2003,1,2,11:00,UTC,1001,,-20.2
2003,1,2,12:00,UTC,1000.7,,-19.8
2003,1,2,13:00,UTC,1000.4,,-19.3
2003,1,2,14:00,UTC,1000.2,,-19.5
2003,1,2,15:00,UTC,1000.3,,-19.8
2003,1,2,16:00,UTC,999.9,,-20.3
